table_name,field_name,data_dictionary_type,data_dictionary_source,sample0427_has,current_crawler_has,current_status,priority,notes
raw_video_detail,admire_count,int64,aweme_detail.statistics.admire_count,是,否,缺失,低,
raw_video_detail,crawl_time,string,采集时间,是,是,已提取,高,
raw_video_detail,primary_source_key,string,数据来源键,是,是,已提取,中,
raw_author,author_id,string,aweme_detail.author.user_id,是,是,已提取,高,
raw_author,author_user_id,int64,aweme_detail.author.author_user_id,是,否,缺失,中,
raw_author,sec_uid,string,aweme_detail.author.sec_uid,是(样本补齐),否,缺失,高,规则补齐值非真实
raw_author,unique_id,string,aweme_detail.author.unique_id,是(样本补齐),否,缺失,中,规则补齐值
raw_author,short_id,string,aweme_detail.author.short_id,是(全空),否,缺失,低,
raw_author,nickname,string,aweme_detail.author.nickname,是,是,已提取,高,当前为author_name
raw_author,signature,string,aweme_detail.author.signature,是,是,已提取,高,当前为author_signature
raw_author,follower_count,int64,aweme_detail.author.follower_count,是,是,已提取,高,当前为author_follower_count
raw_author,total_favorited,int64,aweme_detail.author.total_favorited,是,是,已提取,高,当前为author_total_favorited
raw_author,favoriting_count,int64,aweme_detail.author.favoriting_count,是,否,缺失,中,
raw_author,following_count,int64,aweme_detail.author.following_count,是,否,缺失,中,
raw_author,verification_type,int64,aweme_detail.author.verification_type,是,是,已提取,中,当前为author_verification_type
raw_author,custom_verify,string,aweme_detail.author.custom_verify,是(全空),否,缺失,低,
raw_author,enterprise_verify_reason,string,aweme_detail.author.enterprise_verify_reason,是(全空),否,缺失,低,
raw_author,avatar_thumb_url_list,ARRAY<string>,aweme_detail.author.avatar_thumb.url_list,是(空数组),否,缺失,低,
raw_author,cover_url_list,ARRAY<string>,aweme_detail.author.cover_url_list,是(空数组),否,缺失,低,
raw_author,author_status,int64,aweme_detail.author.status,是,否,缺失,中,
raw_author,author_secret,int64,aweme_detail.author.secret,是,否,缺失,中,
raw_author,author_prevent_download,bool,aweme_detail.author.prevent_download,是,否,缺失,低,
raw_author,crawl_time,string,采集时间,是,是,已提取,高,
raw_music,video_id,string,关联字段,是,是(通过video_detail),已提取,高,外键
raw_music,music_title,string,aweme_detail.music.title,是,是(as music_name),已提取,高,
raw_music,music_author,string,aweme_detail.music.author,是,否,缺失,高,
raw_music,music_id,string/int,aweme_detail.music.id_str,是(样本补齐),否,缺失,高,关键缺失字段
raw_music,music_mid,string/int,aweme_detail.music.mid,是(全空),否,缺失,中,
raw_music,music_owner_id,string,aweme_detail.music.owner_id,是(全空),否,缺失,中,
raw_music,music_owner_nickname,string,aweme_detail.music.owner_nickname,是,否,缺失,中,
raw_music,music_duration,int64,aweme_detail.music.duration,是(-1占位),否,缺失,中,
raw_music,music_shoot_duration,int64,aweme_detail.music.shoot_duration,是(-1占位),否,缺失,低,
raw_music,is_original_sound,bool,aweme_detail.music.is_original_sound,是,否,缺失,中,
raw_music,is_commerce_music,bool,aweme_detail.music.is_commerce_music,是,否,缺失,低,
raw_music,music_status,int64,aweme_detail.music.status,是,否,缺失,中,
raw_music,music_collect_count,int64,aweme_detail.music.collect_count,是(-1占位),否,缺失,低,
raw_music,music_cover_url_list,ARRAY<string>,aweme_detail.music.cover_url_list,是(空数组),否,缺失,低,
raw_music,music_play_url_list,ARRAY<string>,aweme_detail.music.play_url_list,是(空数组),否,缺失,低,
raw_music,crawl_time,string,采集时间,是,是,已提取,高,
raw_hashtag,video_id,string,关联字段,是,是,已提取,高,外键
raw_hashtag,hashtag_id,string,aweme_detail.text_extra[].hashtag_id,是(样本补齐),否,缺失,高,规则补齐值
raw_hashtag,hashtag_name,string,aweme_detail.text_extra[].hashtag_name,是,是(as hashtag_list元素),已提取,高,当前为列表未拆行
raw_hashtag,hashtag_type,int64,aweme_detail.text_extra[].hashtag_type,是,否,缺失,中,
raw_hashtag,is_commerce,bool,aweme_detail.text_extra[].is_commerce,是,否,缺失,低,
raw_hashtag,caption_start,int64,aweme_detail.text_extra[].start,是(-1占位),否,缺失,低,
raw_hashtag,caption_end,int64,aweme_detail.text_extra[].end,是(-1占位),否,缺失,低,
raw_hashtag,start,int64,aweme_detail.text_extra[].start,是,否,缺失,中,
raw_hashtag,end,int64,aweme_detail.text_extra[].end,是,否,缺失,中,
raw_hashtag,crawl_time,string,采集时间,是,是,已提取,高,
raw_video_tag,video_id,string,关联字段,是,否,缺失,高,外键
raw_video_tag,tag_id,int,aweme_detail.video_tag[].tag_id,是(样本补齐),否,缺失,高,完全无提取
raw_video_tag,tag_name,string,aweme_detail.video_tag[].tag_name,是(样本补齐),否,缺失,高,完全无提取
raw_video_tag,tag_level,int64,aweme_detail.video_tag[].tag_level,是(样本补齐),否,缺失,中,完全无提取
raw_video_tag,crawl_time,string,采集时间,是,否,缺失,高,
raw_video_media,video_id,string,关联字段,是,是,已提取,高,外键
raw_video_media,cover_uri,string,aweme_detail.video.cover.uri,是(全空),否,缺失,中,
raw_video_media,cover_url_list,ARRAY<string>,aweme_detail.video.cover.url_list,是,是,已提取,高,当前为cover_url_list
raw_video_media,cover_width,int64,aweme_detail.video.cover.width,是(-1占位),否,缺失,中,
raw_video_media,cover_height,int64,aweme_detail.video.cover.height,是(-1占位),否,缺失,中,
raw_video_media,origin_cover_uri,string,aweme_detail.video.origin_cover.uri,是,否,缺失,中,
raw_video_media,origin_cover_url_list,ARRAY<string>,aweme_detail.video.origin_cover.url_list,是,是(as origin_cover_url),需重命名,高,当前为origin_cover_url
raw_video_media,origin_cover_width,int64,aweme_detail.video.origin_cover.width,是,否,缺失,中,
raw_video_media,origin_cover_height,int64,aweme_detail.video.origin_cover.height,是,否,缺失,中,
raw_video_media,dynamic_cover_uri,string,aweme_detail.video.dynamic_cover.uri,是,否,缺失,中,
raw_video_media,dynamic_cover_url_list,ARRAY<string>,aweme_detail.video.dynamic_cover.url_list,是,是(as dynamic_cover_url),需重命名,高,当前为dynamic_cover_url
raw_video_media,dynamic_cover_width,int64,aweme_detail.video.dynamic_cover.width,是(-1占位),否,缺失,低,
raw_video_media,dynamic_cover_height,int64,aweme_detail.video.dynamic_cover.height,是(-1占位),否,缺失,低,
raw_video_media,video_width,int64,aweme_detail.video.width,是(-1占位),否,缺失,中,
raw_video_media,video_height,int64,aweme_detail.video.height,是(-1占位),否,缺失,中,
raw_video_media,video_format,string,aweme_detail.video.format,是(全空),否,缺失,低,
raw_video_media,video_ratio,string,aweme_detail.video.ratio,是(全空),否,缺失,低,
raw_video_media,is_h265,int64,aweme_detail.video.is_h265,是(-1占位),否,缺失,低,
raw_video_media,is_long_video,int64,aweme_detail.video.is_long_video,是(-1占位),否,缺失,低,
raw_video_media,has_watermark,bool,aweme_detail.video.has_watermark,是,否,缺失,低,
raw_video_media,bit_rate_raw,STRING/JSON,aweme_detail.video.bit_rate,是(全空),否,缺失,低,
raw_video_media,big_thumbs_raw,STRING/JSON,aweme_detail.video.big_thumbs,是(全空),否,缺失,低,
raw_video_media,video_meta_raw,STRING/JSON,aweme_detail.video.misc_info,是(全空),否,缺失,低,
raw_video_media,crawl_time,string,采集时间,是,是,已提取,高,
raw_video_status_control,video_id,string,关联字段,是,否,缺失,高,外键
raw_video_status_control,can_comment,bool,aweme_detail.status.allow_comment,是(样本补齐),否,缺失,高,
raw_video_status_control,can_forward,bool,aweme_detail.status.forward_status,是(样本补齐),否,缺失,中,
raw_video_status_control,can_share,bool,aweme_detail.status.share_status,是(样本补齐),否,缺失,中,
raw_video_status_control,can_show_comment,bool,aweme_detail.status.show_comment_status,是(样本补齐),否,缺失,低,
raw_video_status_control,allow_download,bool,aweme_detail.download_status,是(样本补齐),否,缺失,中,
raw_video_status_control,allow_duet,bool,aweme_detail.duet_status,是(样本补齐),否,缺失,低,
raw_video_status_control,allow_music,bool,aweme_detail.music_status,是(样本补齐),否,缺失,低,
raw_video_status_control,allow_record,bool,aweme_detail.prevent_download,是(样本补齐),否,缺失,低,
raw_video_status_control,allow_stitch,bool,aweme_detail.stitch_status,是(样本补齐),否,缺失,低,
raw_video_status_control,private_status,int64,aweme_detail.status.is_private,是(样本补齐),否,缺失,中,
raw_video_status_control,is_delete,bool,aweme_detail.status.is_delete,是(样本补齐),否,缺失,高,
raw_video_status_control,is_prohibited,bool,aweme_detail.status.is_prohibited,是(样本补齐),否,缺失,中,
raw_video_status_control,in_reviewing,bool,aweme_detail.status.review_status,是(样本补齐),否,缺失,低,
raw_video_status_control,review_status,int64,aweme_detail.status.review_status,是(样本补齐),否,缺失,中,
raw_video_status_control,comment_permission_status,int64,aweme_detail.comment_permission_status,是(样本补齐),否,缺失,低,
raw_video_status_control,crawl_time,string,采集时间,是,否,缺失,高,
raw_chapter,video_id,string,关联字段,是,否,缺失,高,外键
raw_chapter,chapter_index,int64,aweme_detail.chapter[].chapter_index,是(样本补齐),否,缺失,高,
raw_chapter,chapter_desc,string,aweme_detail.chapter[].chapter_desc,是(样本补齐),否,缺失,高,
raw_chapter,chapter_detail,string,aweme_detail.chapter[].chapter_detail,是(样本补齐),否,缺失,中,
raw_chapter,chapter_timestamp,int64,aweme_detail.chapter[].start_time,是(样本补齐),否,缺失,中,
raw_chapter,chapter_cover_url,string,aweme_detail.chapter[].cover_url,是(全空),否,缺失,低,
raw_chapter,chapter_abstract,string,aweme_detail.chapter[].abstract,是(样本补齐),否,缺失,中,
raw_chapter,chapter_review_status,int64,aweme_detail.chapter[].review_status,是(样本补齐),否,缺失,低,
raw_chapter,chapter_recommend_type,string/int,aweme_detail.chapter[].recommend_type,是(样本补齐),否,缺失,低,
raw_chapter,crawl_time,string,采集时间,是,否,缺失,高,
raw_comment,video_id,string,关联字段,是,否,缺失,高,外键
raw_comment,comment_id,string,评论API.cid,是(样本补齐),否,缺失,高,
raw_comment,comment_text,string,评论API.text,是(样本补齐),否,缺失,高,
raw_comment,comment_create_time,int64,评论API.create_time,是(样本补齐),否,缺失,高,
raw_comment,comment_digg_count,int64,评论API.digg_count,是(样本补齐),否,缺失,高,
raw_comment,comment_status,int64,评论API.status,是(样本补齐),否,缺失,中,
raw_comment,comment_reply_total,int64,评论API.reply_comment_total,是(样本补齐),否,缺失,中,
raw_comment,reply_id,int64,评论API.reply_id,是(样本补齐),否,缺失,中,
raw_comment,reply_to_reply_id,int64,评论API.reply_to_reply_id,是(样本补齐),否,缺失,低,
raw_comment,is_hot,bool,评论API.is_hot,是(样本补齐),否,缺失,中,
raw_comment,is_author_digged,bool,评论API.is_author_digged,是(样本补齐),否,缺失,低,
raw_comment,stick_position,int64,评论API.stick_position,是(样本补齐),否,缺失,低,
raw_comment,label_text,string,评论API.label_text,是(全空),否,缺失,低,
raw_comment,label_type,int64,评论API.label_type,是(样本补齐),否,缺失,低,
raw_comment,comment_user_id,int64,评论API.user.user_id,是(样本补齐),否,缺失,高,
raw_comment,comment_user_sec_uid,string,评论API.user.sec_uid,是(全空),否,缺失,中,
raw_comment,comment_user_nickname,string,评论API.user.nickname,是(样本补齐),否,缺失,高,
raw_comment,comment_user_unique_id,string,评论API.user.unique_id,是(全空),否,缺失,低,
raw_comment,comment_user_avatar_url_list,ARRAY<string>,评论API.user.avatar_thumb.url_list,是(空数组),否,缺失,低,
raw_comment,comment_user_region,string,评论API.user.region,是(样本补齐),否,缺失,低,
raw_comment,comment_cursor,int64,评论API.cursor,是(样本补齐),否,缺失,中,
raw_comment,comment_has_more,bool,评论API.has_more,是(样本补齐),否,缺失,中,
raw_comment,comment_total,int64,评论API.total,是(样本补齐),否,缺失,中,
raw_comment,crawl_time,string,采集时间,是,否,缺失,高,
raw_related_video,source_video_id,string,关联字段,是,否,缺失,高,外键
raw_related_video,related_video_id,string,相关推荐API.aweme_id,是(样本补齐),否,缺失,高,
raw_related_video,related_rank_position,int64,相关推荐API.rank,是(样本补齐),否,缺失,高,
raw_related_video,related_author_id,string,相关推荐API.author.user_id,是(样本补齐),否,缺失,高,
raw_related_video,related_author_sec_uid,string,相关推荐API.author.sec_uid,是(全空),否,缺失,中,
raw_related_video,related_author_nickname,string,相关推荐API.author.nickname,是(样本补齐),否,缺失,高,
raw_related_video,related_caption,string,相关推荐API.desc,是(样本补齐),否,缺失,高,
raw_related_video,related_create_time,int64,相关推荐API.create_time,是(样本补齐),否,缺失,中,
raw_related_video,related_duration_ms,int64,相关推荐API.duration,是(固定1000),否,缺失,中,
raw_related_video,related_media_type,int64,相关推荐API.media_type,是(样本补齐),否,缺失,低,
raw_related_video,related_digg_count,int64,相关推荐API.statistics.digg_count,是(样本补齐),否,缺失,高,
raw_related_video,related_comment_count,int64,相关推荐API.statistics.comment_count,是(样本补齐),否,缺失,中,
raw_related_video,related_share_count,int64,相关推荐API.statistics.share_count,是(样本补齐),否,缺失,中,
raw_related_video,related_collect_count,int64,相关推荐API.statistics.collect_count,是(样本补齐),否,缺失,中,
raw_related_video,related_play_count,int64,相关推荐API.statistics.play_count,是(样本补齐),否,缺失,中,
raw_related_video,related_cover_url_list,ARRAY<string>,相关推荐API.video.cover.url_list,是(空数组),否,缺失,低,
raw_related_video,related_music_id,string/int,相关推荐API.music.id_str,是(样本补齐),否,缺失,中,
raw_related_video,related_music_title,string,相关推荐API.music.title,是(全空),否,缺失,低,
raw_related_video,related_text_extra_raw,STRING/JSON,相关推荐API.text_extra,是(全空),否,缺失,低,
raw_related_video,related_video_tag_raw,STRING/JSON,相关推荐API.video_tag,是(样本补齐),否,缺失,低,
raw_related_video,related_chapter_abstract,string,相关推荐API.chapter[].abstract,是(全空),否,缺失,低,
raw_related_video,crawl_time,string,采集时间,是,否,缺失,高,
raw_crawl_log,crawl_batch_id,string,采集批次ID,是,是,已提取,高,
raw_crawl_log,crawl_time,string,采集时间,是,是,已提取,高,
raw_crawl_log,target_url,string,原始采集URL,是,是,已提取,高,
raw_crawl_log,source_page_type,string,来源页面类型,是,是,已提取,高,
raw_crawl_log,request_url,string,网络响应URL,是(全空),否,缺失,中,
raw_crawl_log,request_cursor,int,分页游标,是(全空),否,缺失,中,
raw_crawl_log,response_status,int64,HTTP状态码,是,是,已提取,高,
raw_crawl_log,response_timestamp,string,响应采集时间,是,是,已提取,高,
raw_crawl_log,response_headers_raw,STRING/JSON,响应头,是(全空),否,缺失,低,
raw_crawl_log,primary_source_key,string,主数据来源键,是,是,已提取,中,
raw_crawl_log,match_type,string,主对象匹配类型,是,是,已提取,高,
raw_crawl_log,confidence,string,选择置信度,是,是,已提取,高,
raw_crawl_log,network_response_count,int64,网络响应数量,是(-1占位),否,缺失,低,
raw_crawl_log,runtime_objects_count,int64,运行时对象数量,是(-1占位),否,缺失,低,
