table_name,field_name,priority,source_path_or_hint,extracted_in_code,output_field_name,is_deprecated_name,allow_null,notes
raw_music,is_original_sound,P2,aweme_detail.music.is_original_sound,partial,is_original_sound,false,true,field_configs已添加
raw_music,is_commerce_music,P3,aweme_detail.music.is_commerce_music,partial,is_commerce_music,false,true,field_configs已添加
raw_music,music_collect_count,P3,aweme_detail.music.music_collect_count,partial,music_collect_count,false,true,field_configs已添加
raw_video_media,video_id,P0,构造字段(通过video_detail),yes,video_id,false,false,构造字段
raw_video_media,crawl_time,P0,采集程序生成,yes,crawl_time,false,false,采集程序生成
raw_video_media,cover_url_list,P1,aweme_detail.video.cover.url_list,yes,cover_url_list,false,true,已正确提取
raw_video_media,cover_url,P1,aweme_detail.video.cover.url_list,yes,cover_url,true,true,旧名保留兼容
raw_video_media,origin_cover_url_list,P1,aweme_detail.video.origin_cover.url_list,yes,origin_cover_url_list,false,true,新增正确命名输出
raw_video_media,origin_cover_url,P1,aweme_detail.video.origin_cover.url_list,yes,origin_cover_url,true,true,旧名保留兼容
raw_video_media,dynamic_cover_url_list,P1,aweme_detail.video.dynamic_cover.url_list,yes,dynamic_cover_url_list,false,true,新增正确命名输出
raw_video_media,dynamic_cover_url,P1,aweme_detail.video.dynamic_cover.url_list,yes,dynamic_cover_url,true,true,旧名保留兼容
raw_video_media,cover_uri,P2,aweme_detail.video.cover.uri,partial,cover_uri,false,true,field_configs已添加
raw_video_media,origin_cover_uri,P2,aweme_detail.video.origin_cover.uri,partial,origin_cover_uri,false,true,field_configs已添加
raw_video_media,dynamic_cover_uri,P2,aweme_detail.video.dynamic_cover.uri,partial,dynamic_cover_uri,false,true,field_configs已添加
raw_video_media,video_width,P2,aweme_detail.video.width,partial,video_width,false,true,field_configs已添加
raw_video_media,video_height,P2,aweme_detail.video.height,partial,video_height,false,true,field_configs已添加
