table_name,column_index,field_name,non_null_count,total_rows,fill_rate,data_dictionary_type,sample0427_type,alignment,notes
raw_video_tag,3,tag_level,162,162,100.0%,int64,int64,synthetic_value,rule-generated
raw_video_tag,4,crawl_time,162,162,100.0%,string,string,aligned,
raw_video_media,0,video_id,79,79,100.0%,string,int64,type_mismatch,foreign key
raw_video_media,1,cover_uri,0,79,0.0%,string,float64,empty_column,whole column empty
raw_video_media,2,cover_url_list,79,79,100.0%,ARRAY<string>,string,format_mismatch,stored as single URL string not JSON array
raw_video_media,3,cover_width,79,79,100.0%,int64,int64,placeholder,all -1
raw_video_media,4,cover_height,79,79,100.0%,int64,int64,placeholder,all -1
raw_video_media,5,origin_cover_uri,78,79,98.7%,string,string,aligned,
raw_video_media,6,origin_cover_url_list,78,79,98.7%,ARRAY<string>,string,format_mismatch,stored as JSON string array
raw_video_media,7,origin_cover_width,78,79,98.7%,int64,int64,aligned,
raw_video_media,8,origin_cover_height,78,79,98.7%,int64,int64,aligned,
raw_video_media,9,dynamic_cover_uri,77,79,97.5%,string,string,aligned,
raw_video_media,10,dynamic_cover_url_list,77,79,97.5%,ARRAY<string>,string,format_mismatch,stored as JSON string array
raw_video_media,11,dynamic_cover_width,79,79,100.0%,int64,int64,placeholder,all -1
raw_video_media,12,dynamic_cover_height,79,79,100.0%,int64,int64,placeholder,all -1
raw_video_media,13,video_width,79,79,100.0%,int64,int64,placeholder,all -1
raw_video_media,14,video_height,79,79,100.0%,int64,int64,placeholder,all -1
raw_video_media,15,video_format,0,79,0.0%,string,float64,empty_column,whole column empty
raw_video_media,16,video_ratio,0,79,0.0%,string,float64,empty_column,whole column empty
raw_video_media,17,is_h265,79,79,100.0%,int64,int64,placeholder,all -1
raw_video_media,18,is_long_video,79,79,100.0%,int64,int64,placeholder,all -1
raw_video_media,19,has_watermark,79,79,100.0%,bool,bool,aligned,
raw_video_media,20,bit_rate_raw,0,79,0.0%,STRING/JSON,float64,empty_column,whole column empty
raw_video_media,21,big_thumbs_raw,0,79,0.0%,STRING/JSON,float64,empty_column,whole column empty
raw_video_media,22,video_meta_raw,0,79,0.0%,STRING/JSON,float64,empty_column,whole column empty
raw_video_media,23,crawl_time,79,79,100.0%,string,string,aligned,
raw_video_status_control,0,video_id,79,79,100.0%,string,int64,type_mismatch,foreign key
raw_video_status_control,1,can_comment,79,79,100.0%,bool,bool,synthetic_value,all True
raw_video_status_control,2,can_forward,79,79,100.0%,bool,bool,synthetic_value,all True
raw_video_status_control,3,can_share,79,79,100.0%,bool,bool,synthetic_value,all True
raw_video_status_control,4,can_show_comment,79,79,100.0%,bool,bool,synthetic_value,all True
raw_video_status_control,5,allow_download,79,79,100.0%,bool,bool,synthetic_value,all False
raw_video_status_control,6,allow_duet,79,79,100.0%,bool,bool,synthetic_value,all False
raw_video_status_control,7,allow_music,79,79,100.0%,bool,bool,synthetic_value,all True
raw_video_status_control,8,allow_record,79,79,100.0%,bool,bool,synthetic_value,all True
raw_video_status_control,9,allow_stitch,79,79,100.0%,bool,bool,synthetic_value,all False
raw_video_status_control,10,private_status,79,79,100.0%,int64,int64,synthetic_value,all 0
raw_video_status_control,11,is_delete,79,79,100.0%,bool,bool,synthetic_value,all False
raw_video_status_control,12,is_prohibited,79,79,100.0%,bool,bool,synthetic_value,all False
raw_video_status_control,13,in_reviewing,79,79,100.0%,bool,bool,synthetic_value,all False
raw_video_status_control,14,review_status,79,79,100.0%,int64,int64,synthetic_value,all 1
raw_video_status_control,15,comment_permission_status,79,79,100.0%,int64,int64,synthetic_value,all 1
raw_video_status_control,16,crawl_time,79,79,100.0%,string,string,aligned,
raw_chapter,0,video_id,169,169,100.0%,string,int64,type_mismatch,foreign key
raw_chapter,1,chapter_index,169,169,100.0%,int64,int64,synthetic_value,rule-generated
raw_chapter,2,chapter_desc,169,169,100.0%,string,string,synthetic_value,derived from caption
raw_chapter,3,chapter_detail,169,169,100.0%,string,string,synthetic_value,derived from caption
raw_chapter,4,chapter_timestamp,169,169,100.0%,int64,int64,synthetic_value,derived from duration
raw_chapter,5,chapter_cover_url,0,169,0.0%,string,float64,empty_column,whole column empty
raw_chapter,6,chapter_abstract,165,169,97.6%,string,string,synthetic_value,derived from caption
raw_chapter,7,chapter_review_status,169,169,100.0%,int64,int64,synthetic_value,all 1
raw_chapter,8,chapter_recommend_type,169,169,100.0%,string/int,string,synthetic_value,all 'default'
raw_chapter,9,crawl_time,169,169,100.0%,string,string,aligned,
raw_comment,0,video_id,250,250,100.0%,string,int64,type_mismatch,foreign key
raw_comment,1,comment_id,250,250,100.0%,string,string,synthetic_value,rule-generated ID
raw_comment,2,comment_text,250,250,100.0%,string,string,synthetic_value,template-generated text
raw_comment,3,comment_create_time,250,250,100.0%,int64,int64,synthetic_value,rule-generated timestamp
raw_comment,4,comment_digg_count,250,250,100.0%,int64,int64,synthetic_value,random values
raw_comment,5,comment_status,250,250,100.0%,int64,int64,synthetic_value,all 1
raw_comment,6,comment_reply_total,250,250,100.0%,int64,int64,synthetic_value,random values
raw_comment,7,reply_id,250,250,100.0%,int64,int64,synthetic_value,all 0
raw_comment,8,reply_to_reply_id,250,250,100.0%,int64,int64,synthetic_value,all 0
raw_comment,9,is_hot,250,250,100.0%,bool,bool,synthetic_value,all False
raw_comment,10,is_author_digged,250,250,100.0%,bool,bool,synthetic_value,all False
raw_comment,11,stick_position,250,250,100.0%,int64,int64,synthetic_value,all -1
raw_comment,12,label_text,0,250,0.0%,string,float64,empty_column,whole column empty
raw_comment,13,label_type,250,250,100.0%,int64,int64,synthetic_value,all -1
raw_comment,14,comment_user_id,250,250,100.0%,int64,int64,synthetic_value,rule-generated
raw_comment,15,comment_user_sec_uid,0,250,0.0%,string,float64,empty_column,whole column empty
raw_comment,16,comment_user_nickname,250,250,100.0%,string,string,synthetic_value,template-generated
raw_comment,17,comment_user_unique_id,0,250,0.0%,string,float64,empty_column,whole column empty
raw_comment,18,comment_user_avatar_url_list,0,250,0.0%,ARRAY<string>,string,empty_column,empty string '[]'
raw_comment,19,comment_user_region,250,250,100.0%,string,string,synthetic_value,all 'CN'
raw_comment,20,comment_cursor,250,250,100.0%,int64,int64,synthetic_value,all 0
raw_comment,21,comment_has_more,250,250,100.0%,bool,bool,synthetic_value,all False
raw_comment,22,comment_total,250,250,100.0%,int64,int64,synthetic_value,2 per video
raw_comment,23,crawl_time,250,250,100.0%,string,string,aligned,
raw_related_video,0,source_video_id,474,474,100.0%,string,int64,type_mismatch,foreign key
raw_related_video,1,related_video_id,474,474,100.0%,string,string,synthetic_value,REL-prefixed rule-generated
raw_related_video,2,related_rank_position,474,474,100.0%,int64,int64,synthetic_value,rule-generated
raw_related_video,3,related_author_id,474,474,100.0%,string,int64,synthetic_value,rule-generated
raw_related_video,4,related_author_sec_uid,0,474,0.0%,string,float64,empty_column,whole column empty
raw_related_video,5,related_author_nickname,474,474,100.0%,string,string,synthetic_value,template-generated
raw_related_video,6,related_caption,474,474,100.0%,string,string,synthetic_value,template-generated
raw_related_video,7,related_create_time,474,474,100.0%,int64,int64,synthetic_value,rule-generated timestamp
raw_related_video,8,related_duration_ms,474,474,100.0%,int64,int64,synthetic_value,all 1000 fixed
raw_related_video,9,related_media_type,474,474,100.0%,int64,int64,synthetic_value,all 4
raw_related_video,10,related_digg_count,474,474,100.0%,int64,int64,synthetic_value,random values
raw_related_video,11,related_comment_count,474,474,100.0%,int64,int64,synthetic_value,random values
raw_related_video,12,related_share_count,474,474,100.0%,int64,int64,synthetic_value,random values
raw_related_video,13,related_collect_count,474,474,100.0%,int64,int64,synthetic_value,random values
raw_related_video,14,related_play_count,474,474,100.0%,int64,int64,synthetic_value,random values
raw_related_video,15,related_cover_url_list,0,474,0.0%,ARRAY<string>,string,empty_column,empty string '[]'
raw_related_video,16,related_music_id,474,474,100.0%,string/int,int64,synthetic_value,mapped from source_video_id
raw_related_video,17,related_music_title,0,474,0.0%,string,float64,empty_column,whole column empty
raw_related_video,18,related_text_extra_raw,0,474,0.0%,STRING/JSON,float64,empty_column,whole column empty
raw_related_video,19,related_video_tag_raw,474,474,100.0%,STRING/JSON,string,synthetic_value,rule-generated JSON
raw_related_video,20,related_chapter_abstract,0,474,0.0%,string,float64,empty_column,whole column empty
raw_related_video,21,crawl_time,474,474,100.0%,string,string,aligned,
raw_crawl_log,0,crawl_batch_id,79,79,100.0%,string,string,aligned,
raw_crawl_log,1,crawl_time,79,79,100.0%,string,string,aligned,
raw_crawl_log,2,target_url,79,79,100.0%,string,string,aligned,
raw_crawl_log,3,source_page_type,79,79,100.0%,string,string,aligned,all 'manual_url'
raw_crawl_log,4,request_url,0,79,0.0%,string,float64,empty_column,whole column empty
raw_crawl_log,5,request_cursor,0,79,0.0%,int,float64,empty_column,whole column empty
raw_crawl_log,6,response_status,79,79,100.0%,int64,int64,aligned,all 200
raw_crawl_log,7,response_timestamp,79,79,100.0%,string,string,aligned,
raw_crawl_log,8,response_headers_raw,0,79,0.0%,STRING/JSON,float64,empty_column,whole column empty
raw_crawl_log,9,primary_source_key,79,79,100.0%,string,int64,type_mismatch,Pandas int64 inference
raw_crawl_log,10,match_type,79,79,100.0%,string,string,aligned,
raw_crawl_log,11,confidence,79,79,100.0%,string,string,aligned,
raw_crawl_log,12,network_response_count,79,79,100.0%,int64,int64,placeholder,all -1
raw_crawl_log,13,runtime_objects_count,79,79,100.0%,int64,int64,placeholder,all -1
