trial_id,run_id,status,val_auc,val_loss,val_accuracy,val_f1,val_precision,val_recall,test_auc,test_f1,learning_rate,weight_decay,dropout,hidden_units,batch_size,epochs,early_stopping_patience,params_json,output_dir,error_message
10,,dry_run,,,,,,,,,0.0006183930099784308,5.514016752841e-05,0.36996314836329536,"[128, 64, 32]",128,50,10,"{""learning_rate"": 0.0006183930099784308, ""weight_decay"": 5.514016752841e-05, ""dropout"": 0.36996314836329536, ""hidden_units"": [128, 64, 32], ""batch_size"": 128, ""epochs"": 50, ""early_stopping_patience"": 10, ""random_seed"": 2109}",D:\CodeData\Program Coding\ByteDance\RA_PTA\outputs\tuning\dnn\real_raw_5000\20260520_174218\trial_010,
11,,dry_run,,,,,,,,,0.0013859333200040925,0.0004076482524863838,0.24825919919104186,"[256, 128]",128,50,10,"{""learning_rate"": 0.0013859333200040925, ""weight_decay"": 0.0004076482524863838, ""dropout"": 0.24825919919104186, ""hidden_units"": [256, 128], ""batch_size"": 128, ""epochs"": 50, ""early_stopping_patience"": 10, ""random_seed"": 2116}",D:\CodeData\Program Coding\ByteDance\RA_PTA\outputs\tuning\dnn\real_raw_5000\20260520_174218\trial_011,
12,,dry_run,,,,,,,,,0.002560225788406334,4.489906128893106e-05,0.4444320590887778,"[256, 128]",64,50,10,"{""learning_rate"": 0.002560225788406334, ""weight_decay"": 4.489906128893106e-05, ""dropout"": 0.4444320590887778, ""hidden_units"": [256, 128], ""batch_size"": 64, ""epochs"": 50, ""early_stopping_patience"": 10, ""random_seed"": 2123}",D:\CodeData\Program Coding\ByteDance\RA_PTA\outputs\tuning\dnn\real_raw_5000\20260520_174218\trial_012,
13,,dry_run,,,,,,,,,0.0002832574472375907,1.527947508127253e-05,0.10341921657109202,"[256, 128]",256,50,10,"{""learning_rate"": 0.0002832574472375907, ""weight_decay"": 1.527947508127253e-05, ""dropout"": 0.10341921657109202, ""hidden_units"": [256, 128], ""batch_size"": 256, ""epochs"": 50, ""early_stopping_patience"": 10, ""random_seed"": 2130}",D:\CodeData\Program Coding\ByteDance\RA_PTA\outputs\tuning\dnn\real_raw_5000\20260520_174218\trial_013,
14,,dry_run,,,,,,,,,0.0013917854917016655,0.004627284202457245,0.24239551904839718,"[128, 64, 32]",64,50,10,"{""learning_rate"": 0.0013917854917016655, ""weight_decay"": 0.004627284202457245, ""dropout"": 0.24239551904839718, ""hidden_units"": [128, 64, 32], ""batch_size"": 64, ""epochs"": 50, ""early_stopping_patience"": 10, ""random_seed"": 2137}",D:\CodeData\Program Coding\ByteDance\RA_PTA\outputs\tuning\dnn\real_raw_5000\20260520_174218\trial_014,
15,,dry_run,,,,,,,,,0.005666324070487916,4.4694272821532004e-05,0.19005693700886078,"[256, 128]",128,50,10,"{""learning_rate"": 0.005666324070487916, ""weight_decay"": 4.4694272821532004e-05, ""dropout"": 0.19005693700886078, ""hidden_units"": [256, 128], ""batch_size"": 128, ""epochs"": 50, ""early_stopping_patience"": 10, ""random_seed"": 2144}",D:\CodeData\Program Coding\ByteDance\RA_PTA\outputs\tuning\dnn\real_raw_5000\20260520_174218\trial_015,
16,,dry_run,,,,,,,,,0.0015701420124772216,0.00247621075899314,0.33520197604032176,"[128, 64]",256,50,10,"{""learning_rate"": 0.0015701420124772216, ""weight_decay"": 0.00247621075899314, ""dropout"": 0.33520197604032176, ""hidden_units"": [128, 64], ""batch_size"": 256, ""epochs"": 50, ""early_stopping_patience"": 10, ""random_seed"": 2151}",D:\CodeData\Program Coding\ByteDance\RA_PTA\outputs\tuning\dnn\real_raw_5000\20260520_174218\trial_016,
17,,dry_run,,,,,,,,,0.0012425387245409536,0.0012049851906967136,0.35372989769701646,"[128, 64, 32]",256,50,10,"{""learning_rate"": 0.0012425387245409536, ""weight_decay"": 0.0012049851906967136, ""dropout"": 0.35372989769701646, ""hidden_units"": [128, 64, 32], ""batch_size"": 256, ""epochs"": 50, ""early_stopping_patience"": 10, ""random_seed"": 2158}",D:\CodeData\Program Coding\ByteDance\RA_PTA\outputs\tuning\dnn\real_raw_5000\20260520_174218\trial_017,
18,,dry_run,,,,,,,,,0.006419650235738952,0.00021303470810035447,0.40152981447226277,"[128, 64]",128,50,10,"{""learning_rate"": 0.006419650235738952, ""weight_decay"": 0.00021303470810035447, ""dropout"": 0.40152981447226277, ""hidden_units"": [128, 64], ""batch_size"": 128, ""epochs"": 50, ""early_stopping_patience"": 10, ""random_seed"": 2165}",D:\CodeData\Program Coding\ByteDance\RA_PTA\outputs\tuning\dnn\real_raw_5000\20260520_174218\trial_018,
19,,dry_run,,,,,,,,,0.009989156675663679,0.007446118255883797,0.1636975017832466,"[128, 64, 32]",64,50,10,"{""learning_rate"": 0.009989156675663679, ""weight_decay"": 0.007446118255883797, ""dropout"": 0.1636975017832466, ""hidden_units"": [128, 64, 32], ""batch_size"": 64, ""epochs"": 50, ""early_stopping_patience"": 10, ""random_seed"": 2172}",D:\CodeData\Program Coding\ByteDance\RA_PTA\outputs\tuning\dnn\real_raw_5000\20260520_174218\trial_019,
